     Elem ID,     Node ID,     X Coord,     Y Coord,     Z Coord,           X,           Y,           Z,   Magnitude
        7079,        1491,  5.0000e+01,  3.9735e+01,  1.0000e+01, -1.0043e+02,  6.5798e+00, -4.4697e+00,  1.0075e+02
        7079,        1586,  5.0000e+01,  4.0000e+01,  1.0000e+01, -1.1422e+02,  4.3122e+00, -5.8704e+00,  1.1445e+02
        7091,        1491,  5.0000e+01,  3.9735e+01,  1.0000e+01, -1.0043e+02,  6.5798e+00, -4.4697e+00,  1.0075e+02
        7091,        1492,  5.0000e+01,  3.9444e+01,  1.0000e+01, -8.7918e+01,  7.5899e+00, -3.6596e+00,  8.8321e+01
        7103,        1492,  5.0000e+01,  3.9444e+01,  1.0000e+01, -8.7918e+01,  7.5899e+00, -3.6596e+00,  8.8321e+01
        7103,        1493,  5.0000e+01,  3.9123e+01,  1.0000e+01, -7.5538e+01,  8.6637e+00, -3.1963e+00,  7.6100e+01
        7115,        1493,  5.0000e+01,  3.9123e+01,  1.0000e+01, -7.5538e+01,  8.6637e+00, -3.1963e+00,  7.6100e+01
        7115,        1494,  5.0000e+01,  3.8770e+01,  1.0000e+01, -6.2087e+01,  9.9722e+00, -2.8928e+00,  6.2949e+01
        7127,        1494,  5.0000e+01,  3.8770e+01,  1.0000e+01, -6.2087e+01,  9.9722e+00, -2.8928e+00,  6.2949e+01
        7127,        1495,  5.0000e+01,  3.8382e+01,  1.0000e+01, -4.4512e+01,  1.0928e+01, -2.5812e+00,  4.5907e+01
        7139,        1495,  5.0000e+01,  3.8382e+01,  1.0000e+01, -4.4512e+01,  1.0928e+01, -2.5812e+00,  4.5907e+01
        7139,        1496,  5.0000e+01,  3.7955e+01,  1.0000e+01, -2.5943e+01,  1.1221e+01, -2.2813e+00,  2.8358e+01
        7151,        1496,  5.0000e+01,  3.7955e+01,  1.0000e+01, -2.5943e+01,  1.1221e+01, -2.2813e+00,  2.8358e+01
        7151,        1497,  5.0000e+01,  3.7486e+01,  1.0000e+01, -2.6285e+00,  1.2048e+01, -1.8371e+00,  1.2468e+01
        7163,        1497,  5.0000e+01,  3.7486e+01,  1.0000e+01, -2.6285e+00,  1.2048e+01, -1.8371e+00,  1.2468e+01
        7163,        1498,  5.0000e+01,  3.6970e+01,  1.0000e+01,  4.7220e+01,  1.7768e+01, -7.2556e-01,  5.0457e+01
        7175,        1498,  5.0000e+01,  3.6970e+01,  1.0000e+01,  4.7220e+01,  1.7768e+01, -7.2556e-01,  5.0457e+01
