     Elem ID,     Node ID,     X Coord,     Y Coord,     Z Coord,           X,           Y,           Z,   Magnitude
       86021,       20387,  5.0000e+01,  7.3337e-02,  1.0000e+01,  2.8910e+02,  1.6287e-02, -3.0240e-03,  2.8910e+02
       86021,       20735,  5.0000e+01,  0.0000e+00,  1.0000e+01,  2.8912e+02, -1.6587e-02, -3.7034e-03,  2.8912e+02
       86099,       20386,  5.0000e+01,  1.5034e-01,  1.0000e+01,  2.8909e+02,  1.2206e-02, -2.5674e-03,  2.8909e+02
       86099,       20387,  5.0000e+01,  7.3337e-02,  1.0000e+01,  2.8910e+02,  1.6287e-02, -3.0240e-03,  2.8910e+02
       86177,       20385,  5.0000e+01,  2.3120e-01,  1.0000e+01,  2.8908e+02,  2.0534e-02, -2.2248e-03,  2.8908e+02
       86177,       20386,  5.0000e+01,  1.5034e-01,  1.0000e+01,  2.8909e+02,  1.2206e-02, -2.5674e-03,  2.8909e+02
       86255,       20384,  5.0000e+01,  3.1609e-01,  1.0000e+01,  2.8907e+02,  2.7087e-02, -1.9679e-03,  2.8907e+02
       86255,       20385,  5.0000e+01,  2.3120e-01,  1.0000e+01,  2.8908e+02,  2.0534e-02, -2.2248e-03,  2.8908e+02
       86333,       20383,  5.0000e+01,  4.0523e-01,  1.0000e+01,  2.8906e+02,  3.4299e-02, -1.7761e-03,  2.8906e+02
       86333,       20384,  5.0000e+01,  3.1609e-01,  1.0000e+01,  2.8907e+02,  2.7087e-02, -1.9679e-03,  2.8907e+02
       86411,       20382,  5.0000e+01,  4.9883e-01,  1.0000e+01,  2.8904e+02,  4.2068e-02, -1.6336e-03,  2.8904e+02
       86411,       20383,  5.0000e+01,  4.0523e-01,  1.0000e+01,  2.8906e+02,  3.4299e-02, -1.7761e-03,  2.8906e+02
       86489,       20381,  5.0000e+01,  5.9711e-01,  1.0000e+01,  2.8902e+02,  5.0446e-02, -1.5278e-03,  2.8902e+02
       86489,       20382,  5.0000e+01,  4.9883e-01,  1.0000e+01,  2.8904e+02,  4.2068e-02, -1.6336e-03,  2.8904e+02
       86567,       20380,  5.0000e+01,  7.0031e-01,  1.0000e+01,  2.8899e+02,  5.9451e-02, -1.4486e-03,  2.8899e+02
       86567,       20381,  5.0000e+01,  5.9711e-01,  1.0000e+01,  2.8902e+02,  5.0446e-02, -1.5278e-03,  2.8902e+02
       86645,       20379,  5.0000e+01,  8.0866e-01,  1.0000e+01,  2.8897e+02,  6.9137e-02, -1.3883e-03,  2.8897e+02
       86645,       20380,  5.0000e+01,  7.0031e-01,  1.0000e+01,  2.8899e+02,  5.9451e-02, -1.4486e-03,  2.8899e+02
       86723,       20378,  5.0000e+01,  9.2243e-01,  1.0000e+01,  2.8894e+02,  7.9560e-02, -1.3406e-03,  2.8894e+02
       86723,       20379,  5.0000e+01,  8.0866e-01,  1.0000e+01,  2.8897e+02,  6.9137e-02, -1.3883e-03,  2.8897e+02
       86801,       20377,  5.0000e+01,  1.0419e+00,  1.0000e+01,  2.8890e+02,  9.0750e-02, -1.3011e-03,  2.8890e+02
       86801,       20378,  5.0000e+01,  9.2243e-01,  1.0000e+01,  2.8894e+02,  7.9560e-02, -1.3406e-03,  2.8894e+02
       86879,       20376,  5.0000e+01,  1.1673e+00,  1.0000e+01,  2.8886e+02,  1.0274e-01, -1.2664e-03,  2.8886e+02
