     Node ID,     X Coord,     Y Coord,     Z Coord,      Scalar
         496,  0.0000e+00,  2.0000e+01,  1.0000e+01,  1.0702e-02
        1559,  4.7975e+01,  3.9956e+01,  1.0000e+01,  1.0710e-02
        1560,  4.5954e+01,  3.9824e+01,  1.0000e+01,  1.0711e-02
        1561,  4.3941e+01,  3.9605e+01,  1.0000e+01,  1.0711e-02
        1562,  4.1939e+01,  3.9298e+01,  1.0000e+01,  1.0711e-02
        1563,  3.9952e+01,  3.8907e+01,  1.0000e+01,  1.0712e-02
        1564,  3.7983e+01,  3.8434e+01,  1.0000e+01,  1.0712e-02
        1565,  3.6034e+01,  3.7882e+01,  1.0000e+01,  1.0712e-02
        1566,  3.4109e+01,  3.7255e+01,  1.0000e+01,  1.0712e-02
        1567,  3.2207e+01,  3.6558e+01,  1.0000e+01,  1.0712e-02
        1568,  3.0331e+01,  3.5795e+01,  1.0000e+01,  1.0712e-02
        1569,  2.8482e+01,  3.4970e+01,  1.0000e+01,  1.0713e-02
        1570,  2.6657e+01,  3.4091e+01,  1.0000e+01,  1.0713e-02
        1571,  2.4858e+01,  3.3163e+01,  1.0000e+01,  1.0713e-02
        1572,  2.3082e+01,  3.2189e+01,  1.0000e+01,  1.0713e-02
        1573,  2.1327e+01,  3.1178e+01,  1.0000e+01,  1.0713e-02
        1574,  1.9593e+01,  3.0132e+01,  1.0000e+01,  1.0713e-02
        1575,  1.7872e+01,  2.9065e+01,  1.0000e+01,  1.0713e-02
        1576,  1.6167e+01,  2.7972e+01,  1.0000e+01,  1.0713e-02
        1577,  1.4467e+01,  2.6872e+01,  1.0000e+01,  1.0713e-02
        1578,  1.2764e+01,  2.5775e+01,  1.0000e+01,  1.0712e-02
        1579,  1.1061e+01,  2.4679e+01,  1.0000e+01,  1.0712e-02
        1580,  9.3376e+00,  2.3616e+01,  1.0000e+01,  1.0711e-02
        1581,  7.5890e+00,  2.2595e+01,  1.0000e+01,  1.0710e-02
        1582,  5.7968e+00,  2.1652e+01,  1.0000e+01,  1.0708e-02
        1583,  3.9419e+00,  2.0839e+01,  1.0000e+01,  1.0704e-02
        1584,  2.0079e+00,  2.0241e+01,  1.0000e+01,  1.0699e-02
        1586,  5.0000e+01,  4.0000e+01,  1.0000e+01,  1.0710e-02
        2605,  9.7992e+01,  2.0241e+01,  1.0000e+01,  1.0689e-02
        2606,  9.6058e+01,  2.0839e+01,  1.0000e+01,  1.0712e-02
        2607,  9.4203e+01,  2.1651e+01,  1.0000e+01,  1.0730e-02
        2608,  9.2410e+01,  2.2593e+01,  1.0000e+01,  1.0743e-02
        2609,  9.0663e+01,  2.3617e+01,  1.0000e+01,  1.0750e-02
        2610,  8.8938e+01,  2.4678e+01,  1.0000e+01,  1.0754e-02
        2611,  8.7236e+01,  2.5775e+01,  1.0000e+01,  1.0753e-02
        2612,  8.5534e+01,  2.6872e+01,  1.0000e+01,  1.0751e-02
        2613,  8.3832e+01,  2.7971e+01,  1.0000e+01,  1.0747e-02
        2614,  8.2128e+01,  2.9064e+01,  1.0000e+01,  1.0741e-02
        2615,  8.0407e+01,  3.0132e+01,  1.0000e+01,  1.0736e-02
        2616,  7.8673e+01,  3.1177e+01,  1.0000e+01,  1.0730e-02
        2617,  7.6918e+01,  3.2189e+01,  1.0000e+01,  1.0725e-02
        2618,  7.5143e+01,  3.3163e+01,  1.0000e+01,  1.0721e-02
        2619,  7.3343e+01,  3.4091e+01,  1.0000e+01,  1.0717e-02
        2620,  7.1519e+01,  3.4970e+01,  1.0000e+01,  1.0715e-02
        2621,  6.9669e+01,  3.5794e+01,  1.0000e+01,  1.0712e-02
        2622,  6.7793e+01,  3.6557e+01,  1.0000e+01,  1.0711e-02
        2623,  6.5891e+01,  3.7255e+01,  1.0000e+01,  1.0709e-02
        2624,  6.3966e+01,  3.7882e+01,  1.0000e+01,  1.0708e-02
        2625,  6.2017e+01,  3.8434e+01,  1.0000e+01,  1.0708e-02
        2626,  6.0048e+01,  3.8907e+01,  1.0000e+01,  1.0708e-02
        2627,  5.8061e+01,  3.9298e+01,  1.0000e+01,  1.0708e-02
        2628,  5.6059e+01,  3.9605e+01,  1.0000e+01,  1.0708e-02
        2629,  5.4046e+01,  3.9824e+01,  1.0000e+01,  1.0709e-02
        2630,  5.2025e+01,  3.9956e+01,  1.0000e+01,  1.0709e-02
        2661,  1.0000e+02,  2.0000e+01,  1.0000e+01,  1.0670e-02
