     Node ID,     X Coord,     Y Coord,     Z Coord,      Scalar
         990, -2.6021e-15,  2.0000e+01,  1.0000e+01,  1.0736e-02
         992,  1.0000e+02,  2.0000e+01,  1.0000e+01,  1.0683e-02
        5729,  9.7992e+01,  2.0241e+01,  1.0000e+01,  1.0706e-02
        5730,  9.6058e+01,  2.0840e+01,  1.0000e+01,  1.0733e-02
        5731,  9.4204e+01,  2.1653e+01,  1.0000e+01,  1.0755e-02
        5732,  9.2412e+01,  2.2596e+01,  1.0000e+01,  1.0770e-02
        5733,  9.0660e+01,  2.3613e+01,  1.0000e+01,  1.0780e-02
        5734,  8.8942e+01,  2.4684e+01,  1.0000e+01,  1.0787e-02
        5735,  8.7231e+01,  2.5768e+01,  1.0000e+01,  1.0791e-02
        5736,  8.5533e+01,  2.6872e+01,  1.0000e+01,  1.0793e-02
        5737,  8.3836e+01,  2.7977e+01,  1.0000e+01,  1.0793e-02
        5738,  8.2125e+01,  2.9061e+01,  1.0000e+01,  1.0792e-02
        5739,  8.0408e+01,  3.0133e+01,  1.0000e+01,  1.0790e-02
        5740,  7.8672e+01,  3.1177e+01,  1.0000e+01,  1.0788e-02
        5741,  7.6918e+01,  3.2189e+01,  1.0000e+01,  1.0784e-02
        5742,  7.5142e+01,  3.3162e+01,  1.0000e+01,  1.0781e-02
        5743,  7.3343e+01,  3.4092e+01,  1.0000e+01,  1.0776e-02
        5744,  7.1518e+01,  3.4970e+01,  1.0000e+01,  1.0771e-02
        5745,  6.9669e+01,  3.5795e+01,  1.0000e+01,  1.0766e-02
        5746,  6.7793e+01,  3.6557e+01,  1.0000e+01,  1.0761e-02
        5747,  6.5891e+01,  3.7255e+01,  1.0000e+01,  1.0756e-02
        5748,  6.3966e+01,  3.7882e+01,  1.0000e+01,  1.0751e-02
        5749,  6.2017e+01,  3.8434e+01,  1.0000e+01,  1.0747e-02
        5750,  6.0048e+01,  3.8907e+01,  1.0000e+01,  1.0743e-02
        5751,  5.8061e+01,  3.9298e+01,  1.0000e+01,  1.0740e-02
        5752,  5.6059e+01,  3.9604e+01,  1.0000e+01,  1.0738e-02
        5753,  5.4046e+01,  3.9824e+01,  1.0000e+01,  1.0737e-02
        5754,  5.2025e+01,  3.9956e+01,  1.0000e+01,  1.0736e-02
        5756,  5.0000e+01,  4.0000e+01,  1.0000e+01,  1.0736e-02
        6927,  4.7975e+01,  3.9956e+01,  1.0000e+01,  1.0736e-02
        6928,  4.5954e+01,  3.9824e+01,  1.0000e+01,  1.0737e-02
        6929,  4.3941e+01,  3.9605e+01,  1.0000e+01,  1.0739e-02
        6930,  4.1939e+01,  3.9298e+01,  1.0000e+01,  1.0740e-02
        6931,  3.9952e+01,  3.8907e+01,  1.0000e+01,  1.0740e-02
        6932,  3.7983e+01,  3.8434e+01,  1.0000e+01,  1.0741e-02
        6933,  3.6034e+01,  3.7882e+01,  1.0000e+01,  1.0742e-02
        6934,  3.4109e+01,  3.7255e+01,  1.0000e+01,  1.0742e-02
        6935,  3.2207e+01,  3.6557e+01,  1.0000e+01,  1.0742e-02
        6936,  3.0331e+01,  3.5794e+01,  1.0000e+01,  1.0743e-02
        6937,  2.8481e+01,  3.4971e+01,  1.0000e+01,  1.0743e-02
        6938,  2.6657e+01,  3.4091e+01,  1.0000e+01,  1.0743e-02
        6939,  2.4857e+01,  3.3163e+01,  1.0000e+01,  1.0744e-02
        6940,  2.3082e+01,  3.2188e+01,  1.0000e+01,  1.0744e-02
        6941,  2.1327e+01,  3.1178e+01,  1.0000e+01,  1.0745e-02
        6942,  1.9594e+01,  3.0130e+01,  1.0000e+01,  1.0745e-02
        6943,  1.7872e+01,  2.9065e+01,  1.0000e+01,  1.0745e-02
        6944,  1.6165e+01,  2.7975e+01,  1.0000e+01,  1.0745e-02
        6945,  1.4468e+01,  2.6870e+01,  1.0000e+01,  1.0745e-02
        6946,  1.2767e+01,  2.5771e+01,  1.0000e+01,  1.0745e-02
        6947,  1.1059e+01,  2.4682e+01,  1.0000e+01,  1.0745e-02
        6948,  9.3384e+00,  2.3615e+01,  1.0000e+01,  1.0744e-02
        6949,  7.5897e+00,  2.2593e+01,  1.0000e+01,  1.0743e-02
        6950,  5.7963e+00,  2.1652e+01,  1.0000e+01,  1.0742e-02
        6951,  3.9416e+00,  2.0839e+01,  1.0000e+01,  1.0738e-02
        6952,  2.0079e+00,  2.0240e+01,  1.0000e+01,  1.0734e-02
