     Node ID,     X Coord,     Y Coord,     Z Coord,      Scalar
         496,  0.0000e+00,  2.0000e+01,  1.0000e+01,  2.1229e-06
        1559,  4.7975e+01,  3.9956e+01,  1.0000e+01,  4.5915e-07
        1560,  4.5954e+01,  3.9824e+01,  1.0000e+01,  2.8541e-07
        1561,  4.3941e+01,  3.9605e+01,  1.0000e+01,  1.7999e-07
        1562,  4.1939e+01,  3.9298e+01,  1.0000e+01,  1.0390e-07
        1563,  3.9952e+01,  3.8907e+01,  1.0000e+01,  4.7047e-08
        1564,  3.7983e+01,  3.8434e+01,  1.0000e+01,  1.4770e-08
        1565,  3.6034e+01,  3.7882e+01,  1.0000e+01,  1.3000e-08
        1566,  3.4109e+01,  3.7255e+01,  1.0000e+01,  2.0161e-08
        1567,  3.2207e+01,  3.6558e+01,  1.0000e+01,  1.7349e-08
        1568,  3.0331e+01,  3.5795e+01,  1.0000e+01,  7.1761e-09
        1569,  2.8482e+01,  3.4970e+01,  1.0000e+01,  1.0466e-08
        1570,  2.6657e+01,  3.4091e+01,  1.0000e+01,  3.1892e-08
        1571,  2.4858e+01,  3.3163e+01,  1.0000e+01,  5.4209e-08
        1572,  2.3082e+01,  3.2189e+01,  1.0000e+01,  7.4734e-08
        1573,  2.1327e+01,  3.1178e+01,  1.0000e+01,  9.3268e-08
        1574,  1.9593e+01,  3.0132e+01,  1.0000e+01,  1.1148e-07
        1575,  1.7872e+01,  2.9065e+01,  1.0000e+01,  1.3153e-07
        1576,  1.6167e+01,  2.7972e+01,  1.0000e+01,  1.5598e-07
        1577,  1.4467e+01,  2.6872e+01,  1.0000e+01,  1.8762e-07
        1578,  1.2764e+01,  2.5775e+01,  1.0000e+01,  2.3158e-07
        1579,  1.1061e+01,  2.4679e+01,  1.0000e+01,  2.9561e-07
        1580,  9.3376e+00,  2.3616e+01,  1.0000e+01,  3.9029e-07
        1581,  7.5890e+00,  2.2595e+01,  1.0000e+01,  4.9556e-07
        1582,  5.7968e+00,  2.1652e+01,  1.0000e+01,  3.6603e-07
        1583,  3.9419e+00,  2.0839e+01,  1.0000e+01,  7.2317e-07
        1584,  2.0079e+00,  2.0241e+01,  1.0000e+01,  1.6991e-06
        1586,  5.0000e+01,  4.0000e+01,  1.0000e+01,  6.3781e-07
        2605,  9.7992e+01,  2.0241e+01,  1.0000e+01,  4.5971e-06
        2606,  9.6058e+01,  2.0839e+01,  1.0000e+01,  4.1856e-06
        2607,  9.4203e+01,  2.1651e+01,  1.0000e+01,  2.8289e-06
        2608,  9.2410e+01,  2.2593e+01,  1.0000e+01,  1.7603e-06
        2609,  9.0663e+01,  2.3617e+01,  1.0000e+01,  1.0691e-06
        2610,  8.8938e+01,  2.4678e+01,  1.0000e+01,  6.2699e-07
        2611,  8.7236e+01,  2.5775e+01,  1.0000e+01,  3.2178e-07
        2612,  8.5534e+01,  2.6872e+01,  1.0000e+01,  1.0434e-07
        2613,  8.3832e+01,  2.7971e+01,  1.0000e+01,  9.4910e-08
        2614,  8.2128e+01,  2.9064e+01,  1.0000e+01,  2.2995e-07
        2615,  8.0407e+01,  3.0132e+01,  1.0000e+01,  3.3247e-07
        2616,  7.8673e+01,  3.1177e+01,  1.0000e+01,  4.1260e-07
        2617,  7.6918e+01,  3.2189e+01,  1.0000e+01,  4.7470e-07
        2618,  7.5143e+01,  3.3163e+01,  1.0000e+01,  5.2393e-07
        2619,  7.3343e+01,  3.4091e+01,  1.0000e+01,  5.6588e-07
        2620,  7.1519e+01,  3.4970e+01,  1.0000e+01,  6.0357e-07
        2621,  6.9669e+01,  3.5794e+01,  1.0000e+01,  6.3685e-07
        2622,  6.7793e+01,  3.6557e+01,  1.0000e+01,  6.6432e-07
        2623,  6.5891e+01,  3.7255e+01,  1.0000e+01,  6.8503e-07
        2624,  6.3966e+01,  3.7882e+01,  1.0000e+01,  6.9925e-07
        2625,  6.2017e+01,  3.8434e+01,  1.0000e+01,  7.0766e-07
        2626,  6.0048e+01,  3.8907e+01,  1.0000e+01,  7.1089e-07
        2627,  5.8061e+01,  3.9298e+01,  1.0000e+01,  7.0978e-07
        2628,  5.6059e+01,  3.9605e+01,  1.0000e+01,  7.0567e-07
        2629,  5.4046e+01,  3.9824e+01,  1.0000e+01,  6.9943e-07
        2630,  5.2025e+01,  3.9956e+01,  1.0000e+01,  7.0039e-07
        2661,  1.0000e+02,  2.0000e+01,  1.0000e+01,  3.7645e-06
