     Node ID,     X Coord,     Y Coord,     Z Coord,      Scalar
         918,  0.0000e+00,  2.0000e+01,  1.0000e+01,  1.9302e-06
       21914,  4.9251e+01,  3.9994e+01,  1.0000e+01,  1.6112e-07
       21915,  4.8502e+01,  3.9976e+01,  1.0000e+01,  1.3394e-07
       21916,  4.7754e+01,  3.9946e+01,  1.0000e+01,  1.1645e-07
       21917,  4.7006e+01,  3.9904e+01,  1.0000e+01,  1.0477e-07
       21918,  4.6258e+01,  3.9850e+01,  1.0000e+01,  9.5914e-08
       21919,  4.5512e+01,  3.9784e+01,  1.0000e+01,  8.8443e-08
       21920,  4.4767e+01,  3.9705e+01,  1.0000e+01,  8.1762e-08
       21921,  4.4024e+01,  3.9615e+01,  1.0000e+01,  7.5627e-08
       21922,  4.3281e+01,  3.9513e+01,  1.0000e+01,  6.9930e-08
       21923,  4.2541e+01,  3.9400e+01,  1.0000e+01,  6.4603e-08
       21924,  4.1803e+01,  3.9274e+01,  1.0000e+01,  5.9609e-08
       21925,  4.1066e+01,  3.9137e+01,  1.0000e+01,  5.4958e-08
       21926,  4.0332e+01,  3.8989e+01,  1.0000e+01,  5.0690e-08
       21927,  3.9600e+01,  3.8829e+01,  1.0000e+01,  4.6853e-08
       21928,  3.8871e+01,  3.8658e+01,  1.0000e+01,  4.3521e-08
       21929,  3.8144e+01,  3.8476e+01,  1.0000e+01,  4.0800e-08
       21930,  3.7420e+01,  3.8283e+01,  1.0000e+01,  3.8804e-08
       21931,  3.6699e+01,  3.8079e+01,  1.0000e+01,  3.7644e-08
       21932,  3.5981e+01,  3.7866e+01,  1.0000e+01,  3.7460e-08
       21933,  3.5267e+01,  3.7642e+01,  1.0000e+01,  3.8406e-08
       21934,  3.4555e+01,  3.7407e+01,  1.0000e+01,  4.0617e-08
       21935,  3.3847e+01,  3.7163e+01,  1.0000e+01,  4.4235e-08
       21936,  3.3142e+01,  3.6910e+01,  1.0000e+01,  4.9444e-08
       21937,  3.2440e+01,  3.6647e+01,  1.0000e+01,  5.6432e-08
       21938,  3.1743e+01,  3.6375e+01,  1.0000e+01,  6.5301e-08
       21939,  3.1048e+01,  3.6094e+01,  1.0000e+01,  7.5981e-08
       21940,  3.0357e+01,  3.5805e+01,  1.0000e+01,  8.8231e-08
       21941,  2.9670e+01,  3.5508e+01,  1.0000e+01,  1.0163e-07
       21942,  2.8986e+01,  3.5202e+01,  1.0000e+01,  1.1548e-07
       21943,  2.8306e+01,  3.4888e+01,  1.0000e+01,  1.2882e-07
       21944,  2.7629e+01,  3.4568e+01,  1.0000e+01,  1.4062e-07
       21945,  2.6955e+01,  3.4240e+01,  1.0000e+01,  1.4998e-07
       21946,  2.6285e+01,  3.3904e+01,  1.0000e+01,  1.5610e-07
       21947,  2.5619e+01,  3.3562e+01,  1.0000e+01,  1.5828e-07
       21948,  2.4956e+01,  3.3214e+01,  1.0000e+01,  1.5615e-07
       21949,  2.4295e+01,  3.2861e+01,  1.0000e+01,  1.4973e-07
       21950,  2.3639e+01,  3.2500e+01,  1.0000e+01,  1.3929e-07
       21951,  2.2985e+01,  3.2134e+01,  1.0000e+01,  1.2539e-07
       21952,  2.2334e+01,  3.1763e+01,  1.0000e+01,  1.0880e-07
       21953,  2.1686e+01,  3.1388e+01,  1.0000e+01,  9.0400e-08
       21954,  2.1041e+01,  3.1008e+01,  1.0000e+01,  7.1026e-08
       21955,  2.0399e+01,  3.0623e+01,  1.0000e+01,  5.1240e-08
       21956,  1.9759e+01,  3.0233e+01,  1.0000e+01,  3.1466e-08
       21957,  1.9120e+01,  2.9841e+01,  1.0000e+01,  1.2128e-08
       21958,  1.8483e+01,  2.9448e+01,  1.0000e+01,  8.9732e-09
       21959,  1.7849e+01,  2.9050e+01,  1.0000e+01,  2.3685e-08
       21960,  1.7217e+01,  2.8648e+01,  1.0000e+01,  3.9837e-08
       21961,  1.6586e+01,  2.8243e+01,  1.0000e+01,  5.4970e-08
       21962,  1.5957e+01,  2.7836e+01,  1.0000e+01,  6.9309e-08
       21963,  1.5329e+01,  2.7429e+01,  1.0000e+01,  8.2958e-08
       21964,  1.4700e+01,  2.7022e+01,  1.0000e+01,  9.5841e-08
       21965,  1.4070e+01,  2.6617e+01,  1.0000e+01,  1.0791e-07
       21966,  1.3440e+01,  2.6212e+01,  1.0000e+01,  1.1962e-07
       21967,  1.2811e+01,  2.5805e+01,  1.0000e+01,  1.3167e-07
       21968,  1.2182e+01,  2.5398e+01,  1.0000e+01,  1.4444e-07
       21969,  1.1552e+01,  2.4992e+01,  1.0000e+01,  1.5808e-07
       21970,  1.0921e+01,  2.4590e+01,  1.0000e+01,  1.7266e-07
       21971,  1.0285e+01,  2.4194e+01,  1.0000e+01,  1.8830e-07
       21972,  9.6458e+00,  2.3803e+01,  1.0000e+01,  2.0626e-07
       21973,  9.0051e+00,  2.3415e+01,  1.0000e+01,  2.2828e-07
       21974,  8.3608e+00,  2.3033e+01,  1.0000e+01,  2.5447e-07
       21975,  7.7103e+00,  2.2662e+01,  1.0000e+01,  2.8446e-07
       21976,  7.0537e+00,  2.2301e+01,  1.0000e+01,  3.1897e-07
       21977,  6.3919e+00,  2.1950e+01,  1.0000e+01,  3.5456e-07
       21978,  5.7218e+00,  2.1616e+01,  1.0000e+01,  3.7884e-07
       21979,  5.0425e+00,  2.1299e+01,  1.0000e+01,  3.6872e-07
