     Node ID,     X Coord,     Y Coord,     Z Coord,      Scalar
         990, -2.6021e-15,  2.0000e+01,  1.0000e+01,  1.9060e-06
         992,  1.0000e+02,  2.0000e+01,  1.0000e+01,  4.4293e-06
        5729,  9.7992e+01,  2.0241e+01,  1.0000e+01,  5.2102e-06
        5730,  9.6058e+01,  2.0840e+01,  1.0000e+01,  4.6043e-06
        5731,  9.4204e+01,  2.1653e+01,  1.0000e+01,  3.0891e-06
        5732,  9.2412e+01,  2.2596e+01,  1.0000e+01,  1.9851e-06
        5733,  9.0660e+01,  2.3613e+01,  1.0000e+01,  1.3146e-06
        5734,  8.8942e+01,  2.4684e+01,  1.0000e+01,  8.9300e-07
        5735,  8.7231e+01,  2.5768e+01,  1.0000e+01,  6.0726e-07
        5736,  8.5533e+01,  2.6872e+01,  1.0000e+01,  4.0138e-07
        5737,  8.3836e+01,  2.7977e+01,  1.0000e+01,  2.4643e-07
        5738,  8.2125e+01,  2.9061e+01,  1.0000e+01,  1.1969e-07
        5739,  8.0408e+01,  3.0133e+01,  1.0000e+01,  5.5818e-08
        5740,  7.8672e+01,  3.1177e+01,  1.0000e+01,  1.0008e-07
        5741,  7.6918e+01,  3.2189e+01,  1.0000e+01,  1.9120e-07
        5742,  7.5142e+01,  3.3162e+01,  1.0000e+01,  2.7395e-07
        5743,  7.3343e+01,  3.4092e+01,  1.0000e+01,  3.5159e-07
        5744,  7.1518e+01,  3.4970e+01,  1.0000e+01,  4.2622e-07
        5745,  6.9669e+01,  3.5795e+01,  1.0000e+01,  4.9935e-07
        5746,  6.7793e+01,  3.6557e+01,  1.0000e+01,  5.7234e-07
        5747,  6.5891e+01,  3.7255e+01,  1.0000e+01,  6.4622e-07
        5748,  6.3966e+01,  3.7882e+01,  1.0000e+01,  7.2119e-07
        5749,  6.2017e+01,  3.8434e+01,  1.0000e+01,  7.9689e-07
        5750,  6.0048e+01,  3.8907e+01,  1.0000e+01,  8.7368e-07
        5751,  5.8061e+01,  3.9298e+01,  1.0000e+01,  9.5491e-07
        5752,  5.6059e+01,  3.9604e+01,  1.0000e+01,  1.0481e-06
        5753,  5.4046e+01,  3.9824e+01,  1.0000e+01,  1.1697e-06
        5754,  5.2025e+01,  3.9956e+01,  1.0000e+01,  1.3869e-06
        5756,  5.0000e+01,  4.0000e+01,  1.0000e+01,  1.4879e-06
        6927,  4.7975e+01,  3.9956e+01,  1.0000e+01,  1.2159e-06
        6928,  4.5954e+01,  3.9824e+01,  1.0000e+01,  8.5571e-07
        6929,  4.3941e+01,  3.9605e+01,  1.0000e+01,  6.2142e-07
        6930,  4.1939e+01,  3.9298e+01,  1.0000e+01,  4.4089e-07
        6931,  3.9952e+01,  3.8907e+01,  1.0000e+01,  3.0058e-07
        6932,  3.7983e+01,  3.8434e+01,  1.0000e+01,  1.8771e-07
        6933,  3.6034e+01,  3.7882e+01,  1.0000e+01,  8.6295e-08
        6934,  3.4109e+01,  3.7255e+01,  1.0000e+01,  3.4716e-08
        6935,  3.2207e+01,  3.6557e+01,  1.0000e+01,  4.5852e-08
        6936,  3.0331e+01,  3.5794e+01,  1.0000e+01,  5.9889e-08
        6937,  2.8481e+01,  3.4971e+01,  1.0000e+01,  5.6385e-08
        6938,  2.6657e+01,  3.4091e+01,  1.0000e+01,  4.5397e-08
        6939,  2.4857e+01,  3.3163e+01,  1.0000e+01,  2.8364e-08
        6940,  2.3082e+01,  3.2188e+01,  1.0000e+01,  1.3034e-08
        6941,  2.1327e+01,  3.1178e+01,  1.0000e+01,  2.2652e-08
        6942,  1.9594e+01,  3.0130e+01,  1.0000e+01,  5.3549e-08
        6943,  1.7872e+01,  2.9065e+01,  1.0000e+01,  8.5561e-08
        6944,  1.6165e+01,  2.7975e+01,  1.0000e+01,  1.1847e-07
        6945,  1.4468e+01,  2.6870e+01,  1.0000e+01,  1.5458e-07
        6946,  1.2767e+01,  2.5771e+01,  1.0000e+01,  1.9731e-07
        6947,  1.1059e+01,  2.4682e+01,  1.0000e+01,  2.5343e-07
        6948,  9.3384e+00,  2.3615e+01,  1.0000e+01,  3.3280e-07
        6949,  7.5897e+00,  2.2593e+01,  1.0000e+01,  4.1940e-07
        6950,  5.7963e+00,  2.1652e+01,  1.0000e+01,  3.2485e-07
        6951,  3.9416e+00,  2.0839e+01,  1.0000e+01,  5.9136e-07
        6952,  2.0079e+00,  2.0240e+01,  1.0000e+01,  1.4342e-06
