     Elem ID,     Node ID,     X Coord,     Y Coord,     Z Coord,           X,           Y,           Z,   Magnitude
        6479,        1491,  5.0000e+01,  3.9500e+01,  1.0000e+01, -9.4630e+01, -3.0616e+00,  6.4582e-04,  9.4680e+01
        6479,        1586,  5.0000e+01,  4.0000e+01,  1.0000e+01, -1.6682e+01, -1.1120e+00,  1.1933e-03,  1.6719e+01
        6491,        1491,  5.0000e+01,  3.9500e+01,  1.0000e+01, -9.4630e+01, -3.0616e+00,  6.4582e-04,  9.4680e+01
        6491,        1492,  5.0000e+01,  3.8974e+01,  1.0000e+01, -1.2730e+02, -7.3515e+00,  4.7882e-04,  1.2752e+02
        6503,        1492,  5.0000e+01,  3.8974e+01,  1.0000e+01, -1.2730e+02, -7.3515e+00,  4.7882e-04,  1.2752e+02
        6503,        1493,  5.0000e+01,  3.8422e+01,  1.0000e+01, -1.3951e+02, -1.1447e+01,  7.2533e-04,  1.3997e+02
        6515,        1493,  5.0000e+01,  3.8422e+01,  1.0000e+01, -1.3951e+02, -1.1447e+01,  7.2533e-04,  1.3997e+02
        6515,        1494,  5.0000e+01,  3.7843e+01,  1.0000e+01, -1.4190e+02, -1.4965e+01,  1.1236e-03,  1.4268e+02
        6527,        1494,  5.0000e+01,  3.7843e+01,  1.0000e+01, -1.4190e+02, -1.4965e+01,  1.1236e-03,  1.4268e+02
        6527,        1495,  5.0000e+01,  3.7235e+01,  1.0000e+01, -1.3876e+02, -1.7987e+01,  1.5086e-03,  1.3993e+02
        6539,        1495,  5.0000e+01,  3.7235e+01,  1.0000e+01, -1.3876e+02, -1.7987e+01,  1.5086e-03,  1.3993e+02
        6539,        1496,  5.0000e+01,  3.6596e+01,  1.0000e+01, -1.3219e+02, -2.0606e+01,  1.7896e-03,  1.3379e+02
        6551,        1496,  5.0000e+01,  3.6596e+01,  1.0000e+01, -1.3219e+02, -2.0606e+01,  1.7896e-03,  1.3379e+02
        6551,        1497,  5.0000e+01,  3.5926e+01,  1.0000e+01, -1.2329e+02, -2.2878e+01,  1.9250e-03,  1.2539e+02
        6563,        1497,  5.0000e+01,  3.5926e+01,  1.0000e+01, -1.2329e+02, -2.2878e+01,  1.9250e-03,  1.2539e+02
        6563,        1498,  5.0000e+01,  3.5222e+01,  1.0000e+01, -1.1271e+02, -2.4835e+01,  1.9044e-03,  1.1541e+02
        6575,        1498,  5.0000e+01,  3.5222e+01,  1.0000e+01, -1.1271e+02, -2.4835e+01,  1.9044e-03,  1.1541e+02
        6575,        1499,  5.0000e+01,  3.4482e+01,  1.0000e+01, -1.0085e+02, -2.6498e+01,  1.7360e-03,  1.0427e+02
        6587,        1499,  5.0000e+01,  3.4482e+01,  1.0000e+01, -1.0085e+02, -2.6498e+01,  1.7360e-03,  1.0427e+02
        6587,        1500,  5.0000e+01,  3.3706e+01,  1.0000e+01, -8.7837e+01, -2.7924e+01,  1.4311e-03,  9.2169e+01
        6599,        1500,  5.0000e+01,  3.3706e+01,  1.0000e+01, -8.7837e+01, -2.7924e+01,  1.4311e-03,  9.2169e+01
        6599,        1501,  5.0000e+01,  3.2891e+01,  1.0000e+01, -7.3679e+01, -2.9274e+01,  9.8904e-04,  7.9282e+01
        6611,        1501,  5.0000e+01,  3.2891e+01,  1.0000e+01, -7.3679e+01, -2.9274e+01,  9.8904e-04,  7.9282e+01
        6611,        1502,  5.0000e+01,  3.2035e+01,  1.0000e+01, -5.9078e+01, -3.0571e+01,  4.3827e-04,  6.6519e+01
        6623,        1502,  5.0000e+01,  3.2035e+01,  1.0000e+01, -5.9078e+01, -3.0571e+01,  4.3827e-04,  6.6519e+01
        6623,        1503,  5.0000e+01,  3.1136e+01,  1.0000e+01, -4.4183e+01, -3.1774e+01, -1.9041e-04,  5.4422e+01
        6635,        1503,  5.0000e+01,  3.1136e+01,  1.0000e+01, -4.4183e+01, -3.1774e+01, -1.9041e-04,  5.4422e+01
        6635,        1504,  5.0000e+01,  3.0193e+01,  1.0000e+01, -2.9203e+01, -3.2912e+01, -8.4088e-04,  4.4000e+01
        6647,        1504,  5.0000e+01,  3.0193e+01,  1.0000e+01, -2.9203e+01, -3.2912e+01, -8.4088e-04,  4.4000e+01
        6647,        1505,  5.0000e+01,  2.9202e+01,  1.0000e+01, -1.3353e+01, -3.3874e+01, -1.4496e-03,  3.6411e+01
        6659,        1505,  5.0000e+01,  2.9202e+01,  1.0000e+01, -1.3353e+01, -3.3874e+01, -1.4496e-03,  3.6411e+01
        6659,        1506,  5.0000e+01,  2.8162e+01,  1.0000e+01,  6.7782e+00, -3.3700e+01, -1.8553e-03,  3.4375e+01
        6671,        1506,  5.0000e+01,  2.8162e+01,  1.0000e+01,  6.7782e+00, -3.3700e+01, -1.8553e-03,  3.4375e+01
        6671,        1507,  5.0000e+01,  2.7069e+01,  1.0000e+01,  3.1143e+01, -3.1879e+01, -1.7177e-03,  4.4567e+01
        6683,        1507,  5.0000e+01,  2.7069e+01,  1.0000e+01,  3.1143e+01, -3.1879e+01, -1.7177e-03,  4.4567e+01
        6683,        1508,  5.0000e+01,  2.5922e+01,  1.0000e+01,  6.3797e+01, -2.6902e+01, -8.6277e-04,  6.9237e+01
        6695,        1508,  5.0000e+01,  2.5922e+01,  1.0000e+01,  6.3797e+01, -2.6902e+01, -8.6277e-04,  6.9237e+01
        6695,        1509,  5.0000e+01,  2.4718e+01,  1.0000e+01,  1.0885e+02, -1.8404e+01,  3.8067e-04,  1.1039e+02
