     Elem ID,     Node ID,     X Coord,     Y Coord,     Z Coord,           X,           Y,           Z,   Magnitude
       38765,       21847,  5.0000e+01,  1.7731e-01,  1.0000e+01,  6.0253e+01,  1.6766e+00, -7.6961e-06,  6.0276e+01
       38765,       21986,  5.0000e+01,  0.0000e+00,  1.0000e+01, -2.6646e+00,  2.0924e-01,  1.4383e-06,  2.6728e+00
       38787,       21846,  5.0000e+01,  3.5994e-01,  1.0000e+01,  1.2686e+02,  2.5329e+00, -1.8405e-05,  1.2688e+02
       38787,       21847,  5.0000e+01,  1.7731e-01,  1.0000e+01,  6.0253e+01,  1.6766e+00, -7.6961e-06,  6.0276e+01
       38809,       21845,  5.0000e+01,  5.4805e-01,  1.0000e+01,  1.8982e+02,  2.6355e+00, -2.8251e-05,  1.8984e+02
       38809,       21846,  5.0000e+01,  3.5994e-01,  1.0000e+01,  1.2686e+02,  2.5329e+00, -1.8405e-05,  1.2688e+02
       38831,       21844,  5.0000e+01,  7.4180e-01,  1.0000e+01,  2.4590e+02,  2.2700e+00, -3.6087e-05,  2.4591e+02
       38831,       21845,  5.0000e+01,  5.4805e-01,  1.0000e+01,  1.8982e+02,  2.6355e+00, -2.8251e-05,  1.8984e+02
       38853,       21843,  5.0000e+01,  9.4136e-01,  1.0000e+01,  2.9447e+02,  1.6836e+00, -4.1979e-05,  2.9448e+02
       38853,       21844,  5.0000e+01,  7.4180e-01,  1.0000e+01,  2.4590e+02,  2.2700e+00, -3.6087e-05,  2.4591e+02
       38875,       21842,  5.0000e+01,  1.1469e+00,  1.0000e+01,  3.3607e+02,  1.0362e+00, -4.6478e-05,  3.3607e+02
       38875,       21843,  5.0000e+01,  9.4136e-01,  1.0000e+01,  2.9447e+02,  1.6836e+00, -4.1979e-05,  2.9448e+02
       38897,       21841,  5.0000e+01,  1.3586e+00,  1.0000e+01,  3.7149e+02,  4.2379e-01, -5.0178e-05,  3.7149e+02
