     Node ID,     X Coord,     Y Coord,     Z Coord,      Scalar
         416,  0.0000e+00,  2.0000e+01,  1.0000e+01,  1.0718e-02
        4075,  4.6964e+01,  3.9901e+01,  1.0000e+01,  1.0722e-02
        4076,  4.3941e+01,  3.9605e+01,  1.0000e+01,  1.0722e-02
        4077,  4.0944e+01,  3.9113e+01,  1.0000e+01,  1.0722e-02
        4078,  3.7983e+01,  3.8434e+01,  1.0000e+01,  1.0723e-02
        4079,  3.5069e+01,  3.7578e+01,  1.0000e+01,  1.0724e-02
        4080,  3.2207e+01,  3.6558e+01,  1.0000e+01,  1.0724e-02
        4081,  2.9403e+01,  3.5390e+01,  1.0000e+01,  1.0724e-02
        4082,  2.6657e+01,  3.4091e+01,  1.0000e+01,  1.0725e-02
        4083,  2.3967e+01,  3.2681e+01,  1.0000e+01,  1.0725e-02
        4084,  2.1327e+01,  3.1178e+01,  1.0000e+01,  1.0726e-02
        4085,  1.8731e+01,  2.9601e+01,  1.0000e+01,  1.0727e-02
        4086,  1.6167e+01,  2.7972e+01,  1.0000e+01,  1.0727e-02
        4087,  1.3615e+01,  2.6325e+01,  1.0000e+01,  1.0727e-02
        4088,  1.1061e+01,  2.4679e+01,  1.0000e+01,  1.0726e-02
        4089,  8.4685e+00,  2.3096e+01,  1.0000e+01,  1.0725e-02
        4090,  5.7968e+00,  2.1652e+01,  1.0000e+01,  1.0722e-02
        4091,  2.9857e+00,  2.0505e+01,  1.0000e+01,  1.0716e-02
        4093,  5.0000e+01,  4.0000e+01,  1.0000e+01,  1.0723e-02
        4700,  9.7015e+01,  2.0505e+01,  1.0000e+01,  1.0705e-02
        4701,  9.4203e+01,  2.1651e+01,  1.0000e+01,  1.0736e-02
        4702,  9.1532e+01,  2.3097e+01,  1.0000e+01,  1.0755e-02
        4703,  8.8938e+01,  2.4678e+01,  1.0000e+01,  1.0766e-02
        4704,  8.6386e+01,  2.6326e+01,  1.0000e+01,  1.0773e-02
        4705,  8.3832e+01,  2.7971e+01,  1.0000e+01,  1.0775e-02
        4706,  8.1270e+01,  2.9602e+01,  1.0000e+01,  1.0775e-02
        4707,  7.8673e+01,  3.1177e+01,  1.0000e+01,  1.0773e-02
        4708,  7.6033e+01,  3.2681e+01,  1.0000e+01,  1.0769e-02
        4709,  7.3343e+01,  3.4091e+01,  1.0000e+01,  1.0764e-02
        4710,  7.0597e+01,  3.5389e+01,  1.0000e+01,  1.0759e-02
        4711,  6.7793e+01,  3.6557e+01,  1.0000e+01,  1.0753e-02
        4712,  6.4931e+01,  3.7577e+01,  1.0000e+01,  1.0746e-02
        4713,  6.2017e+01,  3.8434e+01,  1.0000e+01,  1.0740e-02
        4714,  5.9056e+01,  3.9113e+01,  1.0000e+01,  1.0735e-02
        4715,  5.6059e+01,  3.9605e+01,  1.0000e+01,  1.0730e-02
        4716,  5.3036e+01,  3.9901e+01,  1.0000e+01,  1.0727e-02
        4742,  1.0000e+02,  2.0000e+01,  1.0000e+01,  1.0675e-02
