     Elem ID,     Node ID,     X Coord,     Y Coord,     Z Coord,           X,           Y,           Z,   Magnitude
        6579,        4058,  5.0000e+01,  1.5000e-01,  1.0000e+01,  7.1563e+01,  9.5289e-01,  1.7484e-07,  7.1570e+01
        6579,        4092,  5.0000e+01,  0.0000e+00,  1.0000e+01, -4.8473e+00,  2.6857e-01,  2.9633e-08,  4.8547e+00
        6581,        4057,  5.0000e+01,  3.1800e-01,  1.0000e+01,  1.5797e+02,  9.8955e-01,  2.6663e-07,  1.5798e+02
        6581,        4058,  5.0000e+01,  1.5000e-01,  1.0000e+01,  7.1563e+01,  9.5289e-01,  1.7484e-07,  7.1570e+01
        6583,        4056,  5.0000e+01,  5.0616e-01,  1.0000e+01,  2.3589e+02,  3.5310e-01,  3.1147e-07,  2.3589e+02
        6583,        4057,  5.0000e+01,  3.1800e-01,  1.0000e+01,  1.5797e+02,  9.8955e-01,  2.6663e-07,  1.5798e+02
        6585,        4055,  5.0000e+01,  7.1690e-01,  1.0000e+01,  2.9841e+02, -6.5786e-01,  3.3497e-07,  2.9841e+02
        6585,        4056,  5.0000e+01,  5.0616e-01,  1.0000e+01,  2.3589e+02,  3.5310e-01,  3.1147e-07,  2.3589e+02
        6587,        4054,  5.0000e+01,  9.5292e-01,  1.0000e+01,  3.4705e+02, -1.7563e+00,  3.5554e-07,  3.4706e+02
        6587,        4055,  5.0000e+01,  7.1690e-01,  1.0000e+01,  2.9841e+02, -6.5786e-01,  3.3497e-07,  2.9841e+02
        6589,        4053,  5.0000e+01,  1.2173e+00,  1.0000e+01,  3.8506e+02, -2.7510e+00,  3.8250e-07,  3.8507e+02
        6589,        4054,  5.0000e+01,  9.5292e-01,  1.0000e+01,  3.4705e+02, -1.7563e+00,  3.5554e-07,  3.4706e+02
        6591,        4052,  5.0000e+01,  1.5133e+00,  1.0000e+01,  4.1513e+02, -3.5273e+00,  4.2091e-07,  4.1514e+02
        6591,        4053,  5.0000e+01,  1.2173e+00,  1.0000e+01,  3.8506e+02, -2.7510e+00,  3.8250e-07,  3.8507e+02
        6593,        4051,  5.0000e+01,  1.8449e+00,  1.0000e+01,  4.3917e+02, -4.0189e+00,  4.7489e-07,  4.3919e+02
        6593,        4052,  5.0000e+01,  1.5133e+00,  1.0000e+01,  4.1513e+02, -3.5273e+00,  4.2091e-07,  4.1514e+02
        6595,        4050,  5.0000e+01,  2.2163e+00,  1.0000e+01,  4.5851e+02, -4.1924e+00,  5.4947e-07,  4.5853e+02
        6595,        4051,  5.0000e+01,  1.8449e+00,  1.0000e+01,  4.3917e+02, -4.0189e+00,  4.7489e-07,  4.3919e+02
        6597,        4049,  5.0000e+01,  2.6323e+00,  1.0000e+01,  4.7410e+02, -4.0378e+00,  6.5184e-07,  4.7412e+02
        6597,        4050,  5.0000e+01,  2.2163e+00,  1.0000e+01,  4.5851e+02, -4.1924e+00,  5.4947e-07,  4.5853e+02
        6599,        4048,  5.0000e+01,  3.0982e+00,  1.0000e+01,  4.8664e+02, -3.5628e+00,  7.9291e-07,  4.8665e+02
        6599,        4049,  5.0000e+01,  2.6323e+00,  1.0000e+01,  4.7410e+02, -4.0378e+00,  6.5184e-07,  4.7412e+02
        6601,        4047,  5.0000e+01,  3.6200e+00,  1.0000e+01,  4.9666e+02, -2.7879e+00,  9.8942e-07,  4.9667e+02
        6601,        4048,  5.0000e+01,  3.0982e+00,  1.0000e+01,  4.8664e+02, -3.5628e+00,  7.9291e-07,  4.8665e+02
        6603,        4046,  5.0000e+01,  4.2043e+00,  1.0000e+01,  5.0458e+02, -1.7402e+00,  1.2664e-06,  5.0458e+02
