     Node ID,     X Coord,     Y Coord,     Z Coord,      Scalar
         738,  0.0000e+00,  2.0000e+01,  1.0000e+01,  1.0700e-02
        2620,  4.8481e+01,  3.9975e+01,  1.0000e+01,  1.0706e-02
        2621,  4.6964e+01,  3.9901e+01,  1.0000e+01,  1.0707e-02
        2622,  4.5450e+01,  3.9777e+01,  1.0000e+01,  1.0707e-02
        2623,  4.3941e+01,  3.9605e+01,  1.0000e+01,  1.0707e-02
        2624,  4.2438e+01,  3.9383e+01,  1.0000e+01,  1.0707e-02
        2625,  4.0944e+01,  3.9113e+01,  1.0000e+01,  1.0707e-02
        2626,  3.9458e+01,  3.8796e+01,  1.0000e+01,  1.0707e-02
        2627,  3.7983e+01,  3.8434e+01,  1.0000e+01,  1.0708e-02
        2628,  3.6520e+01,  3.8027e+01,  1.0000e+01,  1.0708e-02
        2629,  3.5069e+01,  3.7578e+01,  1.0000e+01,  1.0708e-02
        2630,  3.3631e+01,  3.7087e+01,  1.0000e+01,  1.0708e-02
        2631,  3.2207e+01,  3.6558e+01,  1.0000e+01,  1.0708e-02
        2632,  3.0798e+01,  3.5991e+01,  1.0000e+01,  1.0708e-02
        2633,  2.9403e+01,  3.5390e+01,  1.0000e+01,  1.0708e-02
        2634,  2.8023e+01,  3.4756e+01,  1.0000e+01,  1.0708e-02
        2635,  2.6657e+01,  3.4091e+01,  1.0000e+01,  1.0708e-02
        2636,  2.5305e+01,  3.3399e+01,  1.0000e+01,  1.0708e-02
        2637,  2.3967e+01,  3.2681e+01,  1.0000e+01,  1.0709e-02
        2638,  2.2641e+01,  3.1939e+01,  1.0000e+01,  1.0709e-02
        2639,  2.1327e+01,  3.1178e+01,  1.0000e+01,  1.0709e-02
        2640,  2.0025e+01,  3.0396e+01,  1.0000e+01,  1.0709e-02
        2641,  1.8731e+01,  2.9601e+01,  1.0000e+01,  1.0709e-02
        2642,  1.7445e+01,  2.8793e+01,  1.0000e+01,  1.0708e-02
        2643,  1.6167e+01,  2.7972e+01,  1.0000e+01,  1.0708e-02
        2644,  1.4892e+01,  2.7146e+01,  1.0000e+01,  1.0708e-02
        2645,  1.3615e+01,  2.6325e+01,  1.0000e+01,  1.0708e-02
        2646,  1.2339e+01,  2.5500e+01,  1.0000e+01,  1.0708e-02
        2647,  1.1061e+01,  2.4679e+01,  1.0000e+01,  1.0708e-02
        2648,  9.7702e+00,  2.3879e+01,  1.0000e+01,  1.0707e-02
        2649,  8.4685e+00,  2.3096e+01,  1.0000e+01,  1.0707e-02
        2650,  7.1451e+00,  2.2351e+01,  1.0000e+01,  1.0706e-02
        2651,  5.7968e+00,  2.1652e+01,  1.0000e+01,  1.0705e-02
        2652,  4.4127e+00,  2.1026e+01,  1.0000e+01,  1.0702e-02
        2653,  2.9857e+00,  2.0505e+01,  1.0000e+01,  1.0701e-02
        2654,  1.5117e+00,  2.0139e+01,  1.0000e+01,  1.0696e-02
        2656,  5.0000e+01,  4.0000e+01,  1.0000e+01,  1.0706e-02
        4479,  9.8488e+01,  2.0140e+01,  1.0000e+01,  1.0675e-02
        4480,  9.7015e+01,  2.0505e+01,  1.0000e+01,  1.0704e-02
        4481,  9.5588e+01,  2.1026e+01,  1.0000e+01,  1.0710e-02
        4482,  9.4203e+01,  2.1651e+01,  1.0000e+01,  1.0728e-02
        4483,  9.2855e+01,  2.2351e+01,  1.0000e+01,  1.0738e-02
        4484,  9.1532e+01,  2.3097e+01,  1.0000e+01,  1.0745e-02
        4485,  9.0230e+01,  2.3879e+01,  1.0000e+01,  1.0749e-02
        4486,  8.8938e+01,  2.4678e+01,  1.0000e+01,  1.0750e-02
        4487,  8.7661e+01,  2.5499e+01,  1.0000e+01,  1.0749e-02
        4488,  8.6386e+01,  2.6326e+01,  1.0000e+01,  1.0747e-02
        4489,  8.5108e+01,  2.7146e+01,  1.0000e+01,  1.0744e-02
        4490,  8.3832e+01,  2.7971e+01,  1.0000e+01,  1.0739e-02
        4491,  8.2555e+01,  2.8792e+01,  1.0000e+01,  1.0734e-02
        4492,  8.1270e+01,  2.9602e+01,  1.0000e+01,  1.0729e-02
        4493,  7.9975e+01,  3.0396e+01,  1.0000e+01,  1.0724e-02
        4494,  7.8673e+01,  3.1177e+01,  1.0000e+01,  1.0719e-02
        4495,  7.7359e+01,  3.1939e+01,  1.0000e+01,  1.0715e-02
        4496,  7.6033e+01,  3.2681e+01,  1.0000e+01,  1.0712e-02
        4497,  7.4695e+01,  3.3399e+01,  1.0000e+01,  1.0709e-02
        4498,  7.3343e+01,  3.4091e+01,  1.0000e+01,  1.0707e-02
        4499,  7.1977e+01,  3.4756e+01,  1.0000e+01,  1.0706e-02
        4500,  7.0597e+01,  3.5389e+01,  1.0000e+01,  1.0704e-02
        4501,  6.9202e+01,  3.5991e+01,  1.0000e+01,  1.0703e-02
        4502,  6.7793e+01,  3.6557e+01,  1.0000e+01,  1.0703e-02
        4503,  6.6369e+01,  3.7087e+01,  1.0000e+01,  1.0702e-02
        4504,  6.4931e+01,  3.7577e+01,  1.0000e+01,  1.0702e-02
        4505,  6.3481e+01,  3.8027e+01,  1.0000e+01,  1.0702e-02
        4506,  6.2017e+01,  3.8434e+01,  1.0000e+01,  1.0702e-02
        4507,  6.0542e+01,  3.8797e+01,  1.0000e+01,  1.0702e-02
        4508,  5.9056e+01,  3.9113e+01,  1.0000e+01,  1.0703e-02
        4509,  5.7562e+01,  3.9383e+01,  1.0000e+01,  1.0703e-02
        4510,  5.6059e+01,  3.9605e+01,  1.0000e+01,  1.0704e-02
        4511,  5.4550e+01,  3.9778e+01,  1.0000e+01,  1.0704e-02
        4512,  5.3036e+01,  3.9901e+01,  1.0000e+01,  1.0705e-02
        4513,  5.1519e+01,  3.9975e+01,  1.0000e+01,  1.0705e-02
        4554,  1.0000e+02,  2.0000e+01,  1.0000e+01,  1.0664e-02
