     Node ID,     X Coord,     Y Coord,     Z Coord,      Scalar
         416,  0.0000e+00,  2.0000e+01,  1.0000e+01,  1.8321e-06
        4075,  4.6964e+01,  3.9901e+01,  1.0000e+01,  1.2610e-06
        4076,  4.3941e+01,  3.9605e+01,  1.0000e+01,  4.8236e-07
        4077,  4.0944e+01,  3.9113e+01,  1.0000e+01,  2.1938e-07
        4078,  3.7983e+01,  3.8434e+01,  1.0000e+01,  6.4909e-08
        4079,  3.5069e+01,  3.7578e+01,  1.0000e+01,  2.5883e-08
        4080,  3.2207e+01,  3.6558e+01,  1.0000e+01,  4.9798e-08
        4081,  2.9403e+01,  3.5390e+01,  1.0000e+01,  4.6889e-08
        4082,  2.6657e+01,  3.4091e+01,  1.0000e+01,  2.4271e-08
        4083,  2.3967e+01,  3.2681e+01,  1.0000e+01,  2.3211e-08
        4084,  2.1327e+01,  3.1178e+01,  1.0000e+01,  6.4396e-08
        4085,  1.8731e+01,  2.9601e+01,  1.0000e+01,  1.1548e-07
        4086,  1.6167e+01,  2.7972e+01,  1.0000e+01,  1.6452e-07
        4087,  1.3615e+01,  2.6325e+01,  1.0000e+01,  2.2164e-07
        4088,  1.1061e+01,  2.4679e+01,  1.0000e+01,  3.1088e-07
        4089,  8.4685e+00,  2.3096e+01,  1.0000e+01,  4.1110e-07
        4090,  5.7968e+00,  2.1652e+01,  1.0000e+01,  4.6424e-07
        4091,  2.9857e+00,  2.0505e+01,  1.0000e+01,  1.0899e-06
        4093,  5.0000e+01,  4.0000e+01,  1.0000e+01,  2.0278e-06
        4700,  9.7015e+01,  2.0505e+01,  1.0000e+01,  4.9903e-06
        4701,  9.4203e+01,  2.1651e+01,  1.0000e+01,  3.7697e-06
        4702,  9.1532e+01,  2.3097e+01,  1.0000e+01,  1.9769e-06
        4703,  8.8938e+01,  2.4678e+01,  1.0000e+01,  1.1207e-06
        4704,  8.6386e+01,  2.6326e+01,  1.0000e+01,  6.7833e-07
        4705,  8.3832e+01,  2.7971e+01,  1.0000e+01,  4.0581e-07
        4706,  8.1270e+01,  2.9602e+01,  1.0000e+01,  2.0698e-07
        4707,  7.8673e+01,  3.1177e+01,  1.0000e+01,  8.2391e-08
        4708,  7.6033e+01,  3.2681e+01,  1.0000e+01,  1.1743e-07
        4709,  7.3343e+01,  3.4091e+01,  1.0000e+01,  2.5052e-07
        4710,  7.0597e+01,  3.5389e+01,  1.0000e+01,  3.7605e-07
        4711,  6.7793e+01,  3.6557e+01,  1.0000e+01,  5.0328e-07
        4712,  6.4931e+01,  3.7577e+01,  1.0000e+01,  6.3649e-07
        4713,  6.2017e+01,  3.8434e+01,  1.0000e+01,  7.7962e-07
        4714,  5.9056e+01,  3.9113e+01,  1.0000e+01,  9.4661e-07
        4715,  5.6059e+01,  3.9605e+01,  1.0000e+01,  1.1786e-06
        4716,  5.3036e+01,  3.9901e+01,  1.0000e+01,  1.7510e-06
        4742,  1.0000e+02,  2.0000e+01,  1.0000e+01,  4.4993e-06
