     Elem ID,     Node ID,     X Coord,     Y Coord,     Z Coord,           X,           Y,           Z,   Magnitude
       14969,       11061,  5.0000e+01,  3.9735e+01,  1.0000e+01, -6.2223e+01, -2.5497e+00, -5.0201e-06,  6.2275e+01
       14969,       11156,  5.0000e+01,  4.0000e+01,  1.0000e+01, -2.5974e-01,  3.4038e-03, -3.4865e-06,  2.5976e-01
       14981,       11061,  5.0000e+01,  3.9735e+01,  1.0000e+01, -6.2223e+01, -2.5497e+00, -5.0201e-06,  6.2275e+01
       14981,       11062,  5.0000e+01,  3.9444e+01,  1.0000e+01, -1.0202e+02, -5.6102e+00, -3.8422e-06,  1.0217e+02
       14993,       11062,  5.0000e+01,  3.9444e+01,  1.0000e+01, -1.0202e+02, -5.6102e+00, -3.8422e-06,  1.0217e+02
       14993,       11063,  5.0000e+01,  3.9123e+01,  1.0000e+01, -1.2403e+02, -8.6122e+00, -2.7296e-06,  1.2433e+02
       15005,       11063,  5.0000e+01,  3.9123e+01,  1.0000e+01, -1.2403e+02, -8.6122e+00, -2.7296e-06,  1.2433e+02
       15005,       11064,  5.0000e+01,  3.8770e+01,  1.0000e+01, -1.3568e+02, -1.1453e+01, -2.0748e-06,  1.3616e+02
       15017,       11064,  5.0000e+01,  3.8770e+01,  1.0000e+01, -1.3568e+02, -1.1453e+01, -2.0748e-06,  1.3616e+02
       15017,       11065,  5.0000e+01,  3.8382e+01,  1.0000e+01, -1.4097e+02, -1.4172e+01, -1.8400e-06,  1.4168e+02
       15029,       11065,  5.0000e+01,  3.8382e+01,  1.0000e+01, -1.4097e+02, -1.4172e+01, -1.8400e-06,  1.4168e+02
       15029,       11066,  5.0000e+01,  3.7955e+01,  1.0000e+01, -1.4206e+02, -1.6828e+01, -1.9079e-06,  1.4305e+02
       15041,       11066,  5.0000e+01,  3.7955e+01,  1.0000e+01, -1.4206e+02, -1.6828e+01, -1.9079e-06,  1.4305e+02
       15041,       11067,  5.0000e+01,  3.7486e+01,  1.0000e+01, -1.4014e+02, -1.9454e+01, -2.1574e-06,  1.4149e+02
       15053,       11067,  5.0000e+01,  3.7486e+01,  1.0000e+01, -1.4014e+02, -1.9454e+01, -2.1574e-06,  1.4149e+02
       15053,       11068,  5.0000e+01,  3.6970e+01,  1.0000e+01, -1.3591e+02, -2.2055e+01, -2.4791e-06,  1.3769e+02
       15065,       11068,  5.0000e+01,  3.6970e+01,  1.0000e+01, -1.3591e+02, -2.2055e+01, -2.4791e-06,  1.3769e+02
       15065,       11069,  5.0000e+01,  3.6401e+01,  1.0000e+01, -1.2974e+02, -2.4613e+01, -2.7781e-06,  1.3206e+02
       15077,       11069,  5.0000e+01,  3.6401e+01,  1.0000e+01, -1.2974e+02, -2.4613e+01, -2.7781e-06,  1.3206e+02
       15077,       11070,  5.0000e+01,  3.5777e+01,  1.0000e+01, -1.2183e+02, -2.7096e+01, -2.9755e-06,  1.2481e+02
       15089,       11070,  5.0000e+01,  3.5777e+01,  1.0000e+01, -1.2183e+02, -2.7096e+01, -2.9755e-06,  1.2481e+02
       15089,       11071,  5.0000e+01,  3.5089e+01,  1.0000e+01, -1.1227e+02, -2.9461e+01, -3.0105e-06,  1.1607e+02
       15101,       11071,  5.0000e+01,  3.5089e+01,  1.0000e+01, -1.1227e+02, -2.9461e+01, -3.0105e-06,  1.1607e+02
       15101,       11072,  5.0000e+01,  3.4333e+01,  1.0000e+01, -1.0112e+02, -3.1648e+01, -2.8426e-06,  1.0596e+02
       15113,       11072,  5.0000e+01,  3.4333e+01,  1.0000e+01, -1.0112e+02, -3.1648e+01, -2.8426e-06,  1.0596e+02
       15113,       11073,  5.0000e+01,  3.3502e+01,  1.0000e+01, -8.8421e+01, -3.3620e+01, -2.4573e-06,  9.4597e+01
       15125,       11073,  5.0000e+01,  3.3502e+01,  1.0000e+01, -8.8421e+01, -3.3620e+01, -2.4573e-06,  9.4597e+01
       15125,       11074,  5.0000e+01,  3.2587e+01,  1.0000e+01, -7.4206e+01, -3.5387e+01, -1.8801e-06,  8.2211e+01
       15137,       11074,  5.0000e+01,  3.2587e+01,  1.0000e+01, -7.4206e+01, -3.5387e+01, -1.8801e-06,  8.2211e+01
       15137,       11075,  5.0000e+01,  3.1580e+01,  1.0000e+01, -5.7750e+01, -3.7342e+01, -1.1628e-06,  6.8771e+01
