     Elem ID,     Node ID,     X Coord,     Y Coord,     Z Coord,           X,           Y,           Z,   Magnitude
       53231,       26285, -2.5000e+01,  3.1474e-01,  1.0000e+01,  5.1749e+01, -4.0037e-02, -3.3749e-08,  5.1749e+01
       53231,       27103, -2.5000e+01,  0.0000e+00,  1.0000e+01,  1.1954e+00,  1.3068e-02, -1.2990e-08,  1.1955e+00
       53232,       26284, -2.5000e+01,  6.6095e-01,  1.0000e+01,  1.0465e+02, -1.2522e-01, -3.7999e-08,  1.0465e+02
       53232,       26285, -2.5000e+01,  3.1474e-01,  1.0000e+01,  5.1749e+01, -4.0037e-02, -3.3749e-08,  5.1749e+01
       53233,       26283, -2.5000e+01,  1.0418e+00,  1.0000e+01,  1.5973e+02, -2.3999e-01, -3.5190e-08,  1.5973e+02
       53233,       26284, -2.5000e+01,  6.6095e-01,  1.0000e+01,  1.0465e+02, -1.2522e-01, -3.7999e-08,  1.0465e+02
       53234,       26282, -2.5000e+01,  1.4607e+00,  1.0000e+01,  2.1681e+02, -3.7677e-01, -3.0987e-08,  2.1681e+02
       53234,       26283, -2.5000e+01,  1.0418e+00,  1.0000e+01,  1.5973e+02, -2.3999e-01, -3.5190e-08,  1.5973e+02
       53235,       26281, -2.5000e+01,  1.9215e+00,  1.0000e+01,  2.7565e+02, -5.2883e-01, -2.7860e-08,  2.7566e+02
       53235,       26282, -2.5000e+01,  1.4607e+00,  1.0000e+01,  2.1681e+02, -3.7677e-01, -3.0987e-08,  2.1681e+02
       53236,       26280, -2.5000e+01,  2.4284e+00,  1.0000e+01,  3.3587e+02, -6.9086e-01, -2.6241e-08,  3.3587e+02
       53236,       26281, -2.5000e+01,  1.9215e+00,  1.0000e+01,  2.7565e+02, -5.2883e-01, -2.7860e-08,  2.7566e+02
       53237,       26279, -2.5000e+01,  2.9860e+00,  1.0000e+01,  3.9681e+02, -8.5837e-01, -2.5488e-08,  3.9681e+02
       53237,       26280, -2.5000e+01,  2.4284e+00,  1.0000e+01,  3.3587e+02, -6.9086e-01, -2.6241e-08,  3.3587e+02
       53238,       26278, -2.5000e+01,  3.5993e+00,  1.0000e+01,  4.5756e+02, -1.0270e+00, -2.5791e-08,  4.5757e+02
