     Elem ID,     Node ID,     X Coord,     Y Coord,     Z Coord,           X,           Y,           Z,   Magnitude
       65691,       30345, -2.5000e+01,  3.1474e-01,  1.0000e+01,  5.0922e+01, -4.3824e-02,  1.6986e-06,  5.0922e+01
       65691,       31443, -2.5000e+01,  0.0000e+00,  1.0000e+01,  1.1651e+00,  1.3462e-02,  1.3266e-06,  1.1652e+00
       65692,       30344, -2.5000e+01,  6.6095e-01,  1.0000e+01,  1.0302e+02, -1.3446e-01,  1.5081e-06,  1.0302e+02
       65692,       30345, -2.5000e+01,  3.1474e-01,  1.0000e+01,  5.0922e+01, -4.3824e-02,  1.6986e-06,  5.0922e+01
       65693,       30343, -2.5000e+01,  1.0418e+00,  1.0000e+01,  1.5729e+02, -2.5619e-01,  3.2107e-06,  1.5729e+02
       65693,       30344, -2.5000e+01,  6.6095e-01,  1.0000e+01,  1.0302e+02, -1.3446e-01,  1.5081e-06,  1.0302e+02
       65694,       30342, -2.5000e+01,  1.4607e+00,  1.0000e+01,  2.1361e+02, -4.0172e-01,  6.5144e-06,  2.1361e+02
       65694,       30343, -2.5000e+01,  1.0418e+00,  1.0000e+01,  1.5729e+02, -2.5619e-01,  3.2107e-06,  1.5729e+02
       65695,       30341, -2.5000e+01,  1.9215e+00,  1.0000e+01,  2.7178e+02, -5.6442e-01,  1.0011e-05,  2.7178e+02
       65695,       30342, -2.5000e+01,  1.4607e+00,  1.0000e+01,  2.1361e+02, -4.0172e-01,  6.5144e-06,  2.1361e+02
       65696,       30340, -2.5000e+01,  2.4284e+00,  1.0000e+01,  3.3149e+02, -7.3907e-01,  1.3217e-05,  3.3150e+02
       65696,       30341, -2.5000e+01,  1.9215e+00,  1.0000e+01,  2.7178e+02, -5.6442e-01,  1.0011e-05,  2.7178e+02
       65697,       30339, -2.5000e+01,  2.9860e+00,  1.0000e+01,  3.9221e+02, -9.2119e-01,  1.5452e-05,  3.9221e+02
       65697,       30340, -2.5000e+01,  2.4284e+00,  1.0000e+01,  3.3149e+02, -7.3907e-01,  1.3217e-05,  3.3150e+02
       65698,       30338, -2.5000e+01,  3.5993e+00,  1.0000e+01,  4.5313e+02, -1.1063e+00,  1.5975e-05,  4.5313e+02
       65698,       30339, -2.5000e+01,  2.9860e+00,  1.0000e+01,  3.9221e+02, -9.2119e-01,  1.5452e-05,  3.9221e+02
