     Elem ID,     Node ID,     X Coord,     Y Coord,     Z Coord,           X,           Y,           Z,   Magnitude
        6117,         145, -2.5000e+01,  2.6824e-01,  1.0000e+01,  1.5688e+02,  7.1155e-01, -9.6591e-08,  1.5688e+02
        6117,         183, -2.5000e+01,  0.0000e+00,  1.0000e+01,  5.0105e+00, -2.5601e-01, -5.0540e-08,  5.0170e+00
        6118,         144, -2.5000e+01,  5.6867e-01,  1.0000e+01,  2.9917e+02,  2.2707e+00, -8.7129e-08,  2.9917e+02
        6118,         145, -2.5000e+01,  2.6824e-01,  1.0000e+01,  1.5688e+02,  7.1155e-01, -9.6591e-08,  1.5688e+02
        6119,         143, -2.5000e+01,  9.0516e-01,  1.0000e+01,  4.0698e+02,  3.9985e+00, -6.6530e-08,  4.0700e+02
        6119,         144, -2.5000e+01,  5.6867e-01,  1.0000e+01,  2.9917e+02,  2.2707e+00, -8.7129e-08,  2.9917e+02
        6120,         142, -2.5000e+01,  1.2820e+00,  1.0000e+01,  4.7416e+02,  5.3225e+00, -5.0691e-08,  4.7419e+02
        6120,         143, -2.5000e+01,  9.0516e-01,  1.0000e+01,  4.0698e+02,  3.9985e+00, -6.6530e-08,  4.0700e+02
        6121,         141, -2.5000e+01,  1.7041e+00,  1.0000e+01,  5.0961e+02,  6.0427e+00, -3.9526e-08,  5.0965e+02
        6121,         142, -2.5000e+01,  1.2820e+00,  1.0000e+01,  4.7416e+02,  5.3225e+00, -5.0691e-08,  4.7419e+02
        6122,         140, -2.5000e+01,  2.1768e+00,  1.0000e+01,  5.2520e+02,  6.2413e+00, -3.0127e-08,  5.2524e+02
        6122,         141, -2.5000e+01,  1.7041e+00,  1.0000e+01,  5.0961e+02,  6.0427e+00, -3.9526e-08,  5.0965e+02
        6123,         139, -2.5000e+01,  2.7063e+00,  1.0000e+01,  5.3035e+02,  6.0845e+00, -2.1202e-08,  5.3038e+02
        6123,         140, -2.5000e+01,  2.1768e+00,  1.0000e+01,  5.2520e+02,  6.2413e+00, -3.0127e-08,  5.2524e+02
        6124,         138, -2.5000e+01,  3.2993e+00,  1.0000e+01,  5.3093e+02,  5.7128e+00, -1.2172e-08,  5.3096e+02
        6124,         139, -2.5000e+01,  2.7063e+00,  1.0000e+01,  5.3035e+02,  6.0845e+00, -2.1202e-08,  5.3038e+02
        6125,         137, -2.5000e+01,  3.9635e+00,  1.0000e+01,  5.2995e+02,  5.2089e+00, -2.1132e-09,  5.2997e+02
        6125,         138, -2.5000e+01,  3.2993e+00,  1.0000e+01,  5.3093e+02,  5.7128e+00, -1.2172e-08,  5.3096e+02
        6126,         136, -2.5000e+01,  4.7073e+00,  1.0000e+01,  5.2862e+02,  4.6078e+00,  7.9176e-09,  5.2864e+02
        6126,         137, -2.5000e+01,  3.9635e+00,  1.0000e+01,  5.2995e+02,  5.2089e+00, -2.1132e-09,  5.2997e+02
        6127,         135, -2.5000e+01,  5.5404e+00,  1.0000e+01,  5.2738e+02,  3.9171e+00,  1.7782e-08,  5.2740e+02
        6127,         136, -2.5000e+01,  4.7073e+00,  1.0000e+01,  5.2862e+02,  4.6078e+00,  7.9176e-09,  5.2864e+02
        6128,         134, -2.5000e+01,  6.4735e+00,  1.0000e+01,  5.2634e+02,  3.1326e+00,  2.9169e-08,  5.2635e+02
        6128,         135, -2.5000e+01,  5.5404e+00,  1.0000e+01,  5.2738e+02,  3.9171e+00,  1.7782e-08,  5.2740e+02
