temps,vitesse
0.00,300.42
0.01,515.05
0.02,635.86
0.03,729.93
0.04,807.33
0.05,872.55
0.06,928.16
0.07,975.86
0.08,1016.87
0.09,1052.11
0.10,1082.28
0.11,1107.99
0.12,1129.71
0.13,1147.87
0.14,1162.81
0.15,1174.85
0.16,1184.25
0.17,1191.26
0.18,1196.10
0.19,1198.95
0.20,1200.00
0.21,1199.39
0.22,1197.28
0.23,1193.79
0.24,1189.05
0.25,1183.17
0.26,1176.24
0.27,1168.36
0.28,1159.63
0.29,1150.10
0.30,1139.87
0.31,1129.00
0.32,1117.55
0.33,1105.58
0.34,1093.15
0.35,1080.30
0.36,1067.09
0.37,1053.55
0.38,1039.73
0.39,1025.67
0.40,1011.39
0.41,996.94
0.42,982.34
0.43,967.62
0.44,952.81
0.45,937.93
0.46,923.01
0.47,908.06
0.48,893.10
0.49,878.16
0.50,863.24
0.51,848.37
0.52,833.56
0.53,818.82
0.54,804.16
0.55,789.59
0.56,775.13
0.57,760.79
0.58,746.56
0.59,732.47
0.60,718.51
0.61,704.70
0.62,691.03
0.63,677.52
0.64,664.17
0.65,650.98
0.66,637.96
0.67,625.10
0.68,612.42
0.69,599.92
0.70,587.59
0.71,575.44
0.72,563.47
0.73,551.68
0.74,540.08
0.75,528.66
0.76,517.42
0.77,506.36
0.78,495.49
0.79,484.79
0.80,474.28
0.81,463.96
0.82,453.81
0.83,443.84
0.84,434.05
0.85,424.44
0.86,415.00
0.87,405.74
0.88,396.65
0.89,387.74
0.90,378.99
0.91,370.41
0.92,361.99
0.93,353.74
0.94,345.66
0.95,337.73
0.96,329.96
0.97,322.35
0.98,314.89
0.99,307.58
1.00,300.42
1.01,515.05
1.02,635.86
1.03,729.94
1.04,807.34
1.05,872.55
1.06,928.16
1.07,975.87
1.08,1016.88
1.09,1052.11
1.10,1082.29
1.11,1107.99
1.12,1129.72
1.13,1147.87
1.14,1162.81
1.15,1174.85
1.16,1184.25
1.17,1191.27
1.18,1196.10
1.19,1198.96
1.20,1200.00
1.21,1199.39
1.22,1197.28
1.23,1193.80
1.24,1189.06
1.25,1183.17
1.26,1176.24
1.27,1168.37
1.28,1159.63
1.29,1150.11
1.30,1139.87
1.31,1129.00
1.32,1117.55
1.33,1105.58
1.34,1093.15
1.35,1080.30
1.36,1067.09
1.37,1053.55
1.38,1039.73
1.39,1025.67
1.40,1011.39
1.41,996.94
1.42,982.34
1.43,967.62
1.44,952.81
1.45,937.94
1.46,923.01
1.47,908.06
1.48,893.10
1.49,878.16
1.50,863.25
1.51,848.37
1.52,833.56
1.53,818.82
1.54,804.16
1.55,789.60
1.56,775.14
1.57,760.79
1.58,746.56
1.59,732.47
1.60,718.51
1.61,704.70
1.62,691.03
1.63,677.52
1.64,664.17
1.65,650.98
1.66,637.96
1.67,625.10
1.68,612.42
1.69,599.92
1.70,587.59
1.71,575.44
1.72,563.47
1.73,551.69
1.74,540.08
1.75,528.66
1.76,517.42
1.77,506.36
1.78,495.49
1.79,484.79
1.80,474.28
1.81,463.96
1.82,453.81
1.83,443.84
1.84,434.05
1.85,424.44
1.86,415.00
1.87,405.74
1.88,396.65
1.89,387.74
1.90,378.99
1.91,370.41
1.92,361.99
1.93,353.74
1.94,345.66
1.95,337.73
1.96,329.96
1.97,322.35
1.98,314.89
1.99,307.58
2.00,300.42
2.01,515.05
2.02,635.86
2.03,729.94
2.04,807.34
2.05,872.55
2.06,928.16
2.07,975.87
2.08,1016.88
2.09,1052.11
2.10,1082.29
2.11,1107.99
2.12,1129.72
2.13,1147.87
2.14,1162.81
2.15,1174.85
2.16,1184.25
2.17,1191.27
2.18,1196.10
2.19,1198.96
2.20,1200.00
2.21,1199.39
2.22,1197.28
2.23,1193.80
2.24,1189.06
2.25,1183.17
2.26,1176.24
2.27,1168.37
2.28,1159.63
2.29,1150.11
2.30,1139.87
2.31,1129.00
2.32,1117.55
2.33,1105.58
2.34,1093.15
2.35,1080.30
2.36,1067.09
2.37,1053.55
2.38,1039.73
2.39,1025.67
2.40,1011.39
2.41,996.94
2.42,982.34
2.43,967.62
2.44,952.81
2.45,937.94
2.46,923.01
2.47,908.06
2.48,893.10
2.49,878.16
2.50,863.25
2.51,848.37
2.52,833.56
2.53,818.82
2.54,804.16
2.55,789.60
2.56,775.14
2.57,760.79
2.58,746.56
2.59,732.47
2.60,718.51
2.61,704.70
2.62,691.03
2.63,677.52
2.64,664.17
2.65,650.98
2.66,637.96
2.67,625.10
2.68,612.42
2.69,599.92
2.70,587.59
2.71,575.44
2.72,563.47
2.73,551.69
2.74,540.08
2.75,528.66
2.76,517.42
2.77,506.36
2.78,495.49
2.79,484.79
2.80,474.28
2.81,463.96
2.82,453.81
2.83,443.84
2.84,434.05
2.85,424.44
2.86,415.00
2.87,405.74
2.88,396.65
2.89,387.74
2.90,378.99
2.91,370.41
2.92,361.99
2.93,353.74
2.94,345.66
2.95,337.73
2.96,329.96
2.97,322.35
2.98,314.89
2.99,307.58
3.00,300.42
